"id","name","description","contractStartDate","contractEndDate","contractValue","clientId","costCenterId","isActive","createdAt"
3,"Interno","Coisas internas","2025-07-01","2025-12-31","",3,2,"true","""2025-07-25T00:23:27.110Z"""
2,"Campanha Teste 2","Descrição","2025-07-01","2025-12-31","25000.00",27,3,"true","""2025-07-24T23:26:14.592Z"""
5,"Institucional","Institucional","2025-09-30","2025-12-31","25000.00",16,1,"true","""2025-10-03T12:41:44.347Z"""
6,"Institucional","Institucional","2025-09-30","2025-12-31","35000.00",7,1,"true","""2025-10-03T12:42:19.066Z"""
7,"Name","Name","2025-09-30","2025-12-31","",29,1,"true","""2025-10-03T12:47:35.826Z"""
8,"Name","Name","2025-09-30","2025-12-31","",29,1,"true","""2025-10-03T13:46:31.892Z"""
9,"Lançamento","Lançamento","2025-09-30","2025-12-31","",31,2,"true","""2025-10-03T13:47:08.452Z"""
10,"Lançamento Brasil","Lançamento Brasil","2025-09-30","2025-12-31","",32,1,"true","""2025-10-03T13:47:38.861Z"""
11,"Seakalm","Seakalm","2025-09-30","2025-12-31","",33,1,"true","""2025-10-03T13:48:26.179Z"""
12,"Merchand 2025","Merchand 2025","2025-09-30","2025-12-31","",27,1,"true","""2025-10-03T13:48:58.007Z"""
13,"Lançamento","Lançamento","2025-09-30","2025-12-31","",34,1,"true","""2025-10-03T13:49:24.253Z"""
14,"AON","AON","2025-09-30","2025-12-31","",35,1,"true","""2025-10-03T13:49:45.315Z"""
15,"AON","AON","2025-09-30","2025-12-31","20000.00",22,1,"true","""2025-10-03T13:50:14.157Z"""
16,"Institucional","Institucional","2025-09-30","2025-12-31","5000.00",26,1,"true","""2025-10-03T13:50:43.198Z"""