"id","name","isActive","createdAt","updatedAt"
1,"Feiras e Eventos","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
2,"Viagem, Estadia e Refeição - Comercial","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
3,"Software e Aplicativos - Comercial","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
4,"Serviço de Consultoria Comercial","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
5,"Comissões","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
6,"Prospecções","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
7,"Brindes a Clientes","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
8,"Hospedagem Site / Domínio","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
9,"Software e Aplicativos - Marketing","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
10,"Materiais Impressos e Promocionais","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
11,"Publicidade Mídias Digitais","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
12,"Serviço de Consultoria de Assessoria Imprensa","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
13,"Serviço de Consultoria Marketing","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
14,"Material de Uso e Consumo Geral","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
15,"Locação de Equipamentos","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
16,"Viagem, Estadia e Refeição - Administrativo","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
17,"Legais e Cartoriais","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
18,"Translado / Taxi / Aplicativo / KM / Park","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
19,"Lanches e Refeições","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
20,"Bens de Nat. Perm. Deduzidos como Despesas","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
21,"Doações","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
22,"Impostos e taxas","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
23,"Manutenção e Reparos de Equipamento","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
24,"Material de Escritório","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
25,"Material de Informática","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
26,"Material de Copa e Cozinha","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
27,"Seguro de Veiculo","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
28,"Manutenção de Moveis e Utensílios em Geral","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
29,"Ações Endomarketing","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
30,"Fundo Fixo","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
31,"Serviço de Terceiros Adm","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
32,"Serviço de Entregas","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
33,"Serviço de Limpeza e Conservação","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
34,"Serviço de Segurança e Vigilância","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
35,"Serviço de Tradução","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
36,"Software e Aplicativos - Adm","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
37,"Serviço de Suporte Tecnologia","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
38,"Serviço de Consultoria Juridica","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
39,"Serviço de Recrutamento e Seleção","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
40,"Serviço de Consultoria Contábil/ Fiscal/ DP","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""
41,"Serviço de Consultoria Adm / Financeira","true","""2025-08-01T14:51:14.439Z""","""2025-08-01T14:51:14.439Z"""