"id","name","description","isActive","createdAt","updatedAt"
1,"Criação","Departamento de criação e desenvolvimento criativo","true","""2025-07-30T21:18:28.993Z""","""2025-07-30T21:18:28.993Z"""
2,"Conteúdo","Departamento de produção de conteúdo","true","""2025-07-30T21:18:28.993Z""","""2025-07-30T21:18:28.993Z"""
3,"Design","Departamento de design gráfico e visual","true","""2025-07-30T21:18:28.993Z""","""2025-07-30T21:18:28.993Z"""
4,"Mídia","Departamento de mídia paga e performance","true","""2025-07-30T21:18:28.993Z""","""2025-07-30T21:18:28.993Z"""
8,"PLANEJAMENTO","Departamento de planejamento","true","""2025-08-15T22:33:51.789Z""","""2025-08-15T22:33:51.789Z"""
9,"PR","Departamento de relações públicas","true","""2025-08-15T22:33:51.789Z""","""2025-08-15T22:33:51.789Z"""
11,"PRODUCAO","Departamento de produção","true","""2025-08-15T22:33:51.789Z""","""2025-08-15T22:33:51.789Z"""
12,"SOCIAL","Departamento de social media","true","""2025-08-15T22:38:42.304Z""","""2025-08-15T22:38:42.304Z"""
13,"MÍDIA","Departamento de mídia","true","""2025-08-15T22:38:42.304Z""","""2025-08-15T22:38:42.304Z"""
14,"MKT INFLUENCER","Departamento de marketing de influência","true","""2025-08-15T22:38:42.304Z""","""2025-08-15T22:38:42.304Z"""
6,"ATENDIMENTO","Departamento de atendimento ao cliente","false","""2025-08-15T22:33:51.789Z""","""2025-08-18T20:13:48.521Z"""
10,"COMERCIAL","Departamento comercial","false","""2025-08-15T22:33:51.789Z""","""2025-08-18T20:13:52.087Z"""
7,"CRIACAO","Departamento de criação","false","""2025-08-15T22:33:51.789Z""","""2025-08-18T20:13:56.731Z"""